1	1/12/2023	0700	1100	200	ABC1222
1	2/12/2023	1300	1700	0	ABC1223
1	3/12/2023	1900	2300	127	ABC1224
1	4/12/2023	1500	1900	49	ABC1225
1	5/12/2023	0700	1100	152	ABC1226
1	6/12/2023	1300	1700	200	ABC1227
1	7/12/2023	1500	1900	82	ABC1228
2	8/12/2023	1900	2300	117	ABC1229
2	9/12/2023	1000	1400	121	ABC1230
2	10/12/2023	1300	1700	85	ABC1231
2	11/12/2023	0700	1100	127	ABC1232
2	12/12/2023	1500	1900	85	ABC1233
2	13/12/2023	1900	2300	200	ABC1234
2	14/12/2023	1500	1900	23	ABC1235
3	15/12/2023	0700	1100	58	ABC1236
3	16/12/2023	1000	1400	157	ABC1237
3	17/12/2023	1000	1400	91	ABC1238
3	18/12/2023	1300	1700	85	ABC1239
3	19/12/2023	1900	2300	127	ABC1240
3	20/12/2023	0700	1100	127	ABC1241
3	21/12/2023	1900	2300	200	ABC1242
4	22/12/2023	1300	1700	75	ABC1243
4	23/12/2023	1500	1900	1	ABC1244
4	24/12/2023	0700	1100	0	ABC1245
4	25/12/2023	1000	1400	0	ABC1246
4	26/12/2023	1900	2300	200	ABC1247
4	27/12/2023	1500	1900	85	ABC1248
4	28/12/2023	1300	1700	23	ABC1249
5	29/12/2023	0700	1100	2	ABC1250
5	30/12/2023	1300	1700	0	ABC1251
5	31/12/2023	0700	1100	100	ABC1252
